c1 c2 c3 l1 l2 l3 name
SquibbleSnail SkitterCrab squid 32 32 32 jimbo
SquableSnail ScatterCrab bigsquid 32 32 32 jimbo
ScrambleSnail ShatterCrab BiggestSquid 32 32 32 jimbo
SquibbleSnail SquableSnail ScrambleSnail 32 32 32 jimbo
SkitterCrab ScatterCrab ShatterCrab 32 32 32 jimbo
squid bigsquid BiggestSquid 32 32 32 jimbo
cuircuit zip zap 32 32 32 jimbo
ember flickerfly flitfly 32 32 32 jimbo
hedge suculent cactus 32 32 32 jimbo
cloud billow howl 32 32 32 jimbo
rock wiggleworm waggleworm 32 32 32 jimbo
waggleworm skimray howl 32 32 32 jimbo
zap cactus flitfly 32 32 32 jimbo
BiggestSquid skimray zap 32 32 32 jimbo
ShatterCrab waggleworm cactus 32 32 32 jimbo
ScrambleSnail howl flitfly 32 32 32 jimbo
bell item item2 32 32 32 jimbo
skimray skimray skimray 32 32 32 jimbo
dragon skull ardu 32 32 32 jimbo
